ssn,StaLat,StaLon,Nrec,N0,Tn,Tn_new,p_sta,p_star_new,T0,p0,STAID,SiteClass,siteCL_new,SiteClass2,T0_01s,T0_02s,T0_022s,T0_025s,T0_029s,T0_03s,T0_032s,T0_035s,T0_036s,T0_04s,T0_042s,T0_044s,T0_045s,T0_046s,T0_048s,T0_05s,T0_055s,T0_06s,T0_065s,T0_067s,T0_07s,T0_075s,T0_08s,T0_085s,T0_09s,T0_095s,T0_1s,T0_11s,T0_12s,T0_13s,T0_133s,T0_14s,T0_15s,T0_16s,T0_17s,T0_18s,T0_19s,T0_2s,T0_22s,T0_24s,T0_25s,T0_26s,T0_28s,T0_29s,T0_3s,T0_32s,T0_34s,T0_35s,T0_36s,T0_38s,T0_4s,T0_42s,T0_44s,T0_45s,T0_46s,T0_48s,T0_5s,T0_55s,T0_6s,T0_65s,T0_667s,T0_7s,T0_75s,T0_8s,T0_85s,T0_9s,T0_95s,T1s,T1_1s,T1_2s,T1_3s,T1_4s,T1_5s,T1_6s,T1_7s,T1_8s,T1_9s,T2s
25,21.466,104.379,30,30,0.036,0.036,1.56313205,1.665096766,0.17,1.557424592,TTVB,1,1.01,1,1.40724515,1.412911579,1.415449195,1.438882506,1.482175258,1.501577992,1.534048519,1.552428333,1.56313205,1.496220661,1.484139975,1.480022714,1.456784415,1.438011999,1.420235437,1.392056489,1.358453295,1.298816955,1.294693342,1.292391536,1.320519713,1.332932994,1.362740524,1.375778355,1.339940804,1.297650147,1.329324483,1.405104954,1.417707248,1.354718052,1.345881631,1.360396661,1.383673487,1.48724362,1.557424592,1.49062746,1.391339335,1.269639171,1.246748916,1.240565424,1.224457277,1.188559259,1.204285376,1.215223418,1.219698042,1.250765755,1.229435535,1.210283857,1.20382773,1.192589852,1.23022108,1.261936239,1.263338751,1.261672977,1.240235296,1.216602767,1.225158834,1.295539225,1.410788378,1.441780886,1.445723932,1.449270099,1.497511024,1.489514497,1.368526888,1.25722291,1.274849418,1.303534466,1.288571141,1.182701825,1.169981011,1.162152413,1.206271382,1.22832383,1.243944256,1.24560723,1.231602685,1.248623059
26,21.3348125,107.389,8,8,0.14,0.14,3.64267686,3.497249218,0.01,1.869379396,TYVB,2,2,2,1.869379396,1.649885195,1.690474825,1.696159028,1.605484218,1.567015723,1.49690426,1.496792445,1.502158365,1.416171477,1.457307658,1.518920115,1.533316676,1.53733001,1.5573341,1.627131765,1.768077345,1.807238823,1.611066104,1.528210632,1.468102233,1.505102803,1.393765099,1.564208463,1.655956551,1.814140561,2.066555423,2.552461703,2.740987969,3.131166358,3.300543696,3.64267686,3.521453765,3.554482398,3.134511862,2.913810761,2.886978157,3.163759994,2.683560799,2.274851923,2.072415735,1.93953593,1.821508669,1.737152099,1.664028766,1.525367694,1.496526825,1.553535107,1.591144522,1.472193753,1.402782851,1.416592514,1.378249614,1.364232337,1.342666929,1.273741366,1.188996659,1.078944927,1.027381839,0.917142707,0.91236769,0.922061078,0.860909595,0.861065623,0.792576033,0.701125224,0.571139173,0.537089837,0.712972319,0.847205199,0.970027516,1.113950726,1.081095634,1.072650473,1.043883623,0.947274553,0.931134937,0.914500308
27,21.57570833,104.594,12,12,0.48,0.22,1.995365051,2.001122596,0.22,1.97853964,VCVB,1,3,1,1.682241251,1.680957815,1.685401028,1.671084497,1.672468308,1.673843467,1.665261145,1.659803484,1.655748494,1.613047933,1.576561098,1.562365694,1.569225244,1.576613529,1.578610195,1.580149,1.621235365,1.682044003,1.647842445,1.604561599,1.579550166,1.563344889,1.576277997,1.647471666,1.655801856,1.69909246,1.738354961,1.792764849,1.946181527,1.92944299,1.936446139,1.887258466,1.834090598,1.837335197,1.707441884,1.640754699,1.730029405,1.750748009,1.97853964,1.744514392,1.597211202,1.517159418,1.607744215,1.722884312,1.77540382,1.82841173,1.924970334,1.940389638,1.983267376,1.890607392,1.902250749,1.944162077,1.953125781,1.938647856,1.927336813,1.995365051,1.899676063,1.917294981,1.82861396,1.64269635,1.518747379,1.353393609,1.364836189,1.392417616,1.518738682,1.357489691,1.26578101,1.190955403,1.032216851,1.045801664,1.074796535,1.162452634,1.253141184,1.245161598,1.181620522,1.106353171,1.180479653,1.227436471
28,16.65,105.697,4,3,1.2,0.5,1.992101828,2.123129319,0.2,1.49990242,VIVB,1,4,1,1.000585761,1.02156718,1.026664279,1.039240884,1.091692072,1.124232384,1.187929774,1.343602656,1.382350725,1.190235087,1.183494479,1.175402354,1.159565462,1.147183593,1.190076721,1.218470976,1.221277997,1.241068906,1.06415578,1.093132502,1.277353596,1.154066349,1.168991454,1.15781151,1.109552321,1.062854828,0.978884863,0.69891233,0.72112216,0.841780477,0.872687368,0.95140391,1.156832039,0.960215948,1.097764095,1.248665867,1.455874798,1.49990242,1.334065111,1.432807361,1.371453228,1.152445173,0.975652907,0.926251965,0.903587176,0.992172281,0.896894814,0.958439363,1.019239256,1.021006537,1.050990213,1.099498427,1.173948516,1.211791183,1.239665682,1.444969205,1.694995387,1.709598935,1.641515058,1.646399925,1.659911128,1.631709976,1.529143565,1.496740418,1.506031116,1.537498377,1.466973537,1.372695438,1.796633763,1.992101828,1.806390497,1.808118806,1.748210508,1.652640948,1.542664901,1.452112785,1.297646171,1.202708703
29,22.565,102.515,10,4,0.32,0.4,3.390025009,3.494672064,0.04,3.053119055,VN01,3,3,3,2.179276647,2.181093636,2.179914329,2.212202289,2.414541189,2.466239942,2.657660082,3.00130922,2.965284075,3.053119055,2.973004565,2.894367659,2.71464274,2.528296019,2.290891793,1.985542291,2.079248251,2.064838247,1.743336742,1.696327262,1.709291148,1.685715291,1.710794408,1.753764378,1.629901897,1.733318507,1.734234833,1.689229282,1.896699622,1.777342957,1.761791811,1.941738085,1.994623213,2.041752211,2.092662421,2.11324583,2.259946912,2.307324055,2.355230599,2.143298049,2.180066137,2.208315156,2.516477519,2.713747709,3.019688855,3.390025009,3.335561855,3.27984914,3.33172382,3.060202298,2.68712689,2.487115299,2.497842662,2.523720275,2.59989301,2.777151677,2.576199745,2.138668206,2.22000206,1.997285743,1.959571774,1.899702815,1.805132931,1.640487043,1.704649062,1.823663861,1.905993141,1.69132476,1.459417175,1.444820824,1.508301406,1.577069467,1.620423872,1.654666544,1.739334718,1.772027846,1.771132195,1.764589859
30,22.379,102.824,6,6,0.14,0.14,2.039107281,2.657490842,0.036,1.663637837,VN02,2,2,2,1.566663975,1.60325743,1.578793542,1.564990478,1.599558424,1.59271288,1.56929951,1.646727182,1.663637837,1.632988069,1.558417837,1.50939496,1.451966889,1.446382475,1.491536361,1.525236637,1.535067662,1.577264056,1.497935668,1.531349523,1.657670945,1.693355188,1.729532033,1.666993518,1.625081462,1.634581221,1.721811715,1.714553147,1.672340738,1.851249936,1.910837326,2.039107281,1.94886938,1.992847622,1.889767418,1.872705499,1.928421515,1.935718672,1.730801195,1.71547034,1.764854924,1.748682932,1.700312961,1.695758048,1.681403894,1.565644498,1.587437165,1.555491517,1.549279791,1.535382156,1.496914942,1.52817735,1.496396396,1.437865184,1.455865179,1.461709807,1.475517328,1.475317979,1.464926425,1.477974169,1.438210572,1.351106928,1.306212053,1.288001711,1.26797037,1.353096921,1.402133074,1.375387297,1.363492596,1.439483395,1.418375008,1.400037657,1.365348302,1.336466615,1.211762375,1.212557221,1.250772364,1.264146806
31,22.393,102.954,13,8,0.55,0.55,1.556442271,3.170610957,0.11,1.128266049,VN03,1,4,1,0.93327057,0.938806402,0.935317828,0.931257805,0.933118082,0.928741824,0.906046343,0.839624158,0.810228196,0.703125863,0.741710945,0.814481803,0.858069495,0.881097646,0.875181646,0.870089689,0.899867902,0.829537761,0.866327114,0.890110328,0.849441195,0.842460682,0.931214961,0.946481742,0.968781488,0.983814501,1.096510848,1.128266049,0.990968998,0.97069327,0.944277086,1.024665526,0.986125037,0.932079579,0.998070657,1.097033128,1.046672108,0.968720587,0.999821346,1.099997878,1.153990024,1.166747088,1.110245221,1.101771058,1.056263941,1.060558317,1.170319846,1.190759188,1.17510866,1.170005182,1.12865092,1.110533077,1.111766983,1.09236843,1.083181752,1.141620443,1.297985162,1.556442271,1.415388497,1.340294998,1.282241449,1.288982432,1.311699662,1.26617363,1.273923266,1.211978265,1.277191618,1.297596922,1.310464291,1.30070524,1.221483943,1.104688743,1.037863042,1.026286394,1.054800894,1.068140095,1.032378795,0.994832186
32,22.358,103.495,12,12,0.55,0.095,3.397682824,2.779836728,0.55,3.397682824,VN04,4,2,4,1.971294413,1.971831604,1.988083631,2.025198113,2.183470771,2.264750144,2.347586306,2.199063315,2.143185262,2.155457005,2.252497405,2.367513542,2.358546614,2.352505192,2.271601494,2.195643931,2.137623461,2.101755267,2.125432055,2.159436723,2.290819625,2.342093192,2.33879807,2.509757382,2.98250298,3.397682824,3.309200611,2.932917421,2.179348941,1.850026917,1.849929841,1.885559144,1.953735464,1.765471011,1.711419118,1.626013441,1.454065879,1.496547438,1.433981951,1.431946468,1.477741173,1.473521472,1.383442247,1.312485691,1.270585127,1.380017792,1.456556292,1.454570001,1.437319166,1.492845552,1.591291748,1.538869741,1.561433372,1.539386864,1.543865066,1.572202197,1.545866105,1.291898931,1.304021347,1.401512742,1.414423606,1.380473367,1.379702593,1.388318879,1.376083041,1.396055809,1.333854912,1.381119587,1.523307637,1.54884679,1.545801912,1.384582194,1.317384567,1.369885599,1.43431371,1.468615747,1.414955231,1.385683542
33,22.292,102.834,1,1,0.036,0.2,1.862353443,1.793302988,1.8,1.669774119,VN05,1,1.02,5,1.00114362,1.017338413,1.017616038,1.020098997,1.016862866,0.990399245,0.973355366,1.566146554,1.862353443,1.389994135,1.093328545,1.106020132,1.121911026,1.150912594,1.217561769,1.206575145,1.174029792,1.356465435,1.040436553,0.986275301,1.077057125,1.018785435,1.051771671,0.851358407,0.924053449,1.09020811,1.232827535,1.016709669,0.916986097,1.035625935,1.05020578,1.017953447,0.94661058,0.970602784,1.009027754,1.280804421,1.40416791,1.484261196,1.072414552,1.240729357,1.143253607,1.234284247,1.404876107,1.221545001,1.127137067,1.015661397,0.84297135,0.859125152,0.853838033,0.752867257,0.737161598,0.773375401,0.639801755,0.660432414,0.749874694,0.919246451,1.083766791,1.29236219,1.11811752,1.315180786,1.377634216,1.357827807,1.315650613,1.150299151,1.293705359,1.231635681,1.425312236,1.50472982,1.191224856,1.092845257,1.152206864,1.396963899,1.472687747,1.313580965,1.530669454,1.669774119,1.30508521,1.371400987
34,22.136,103.162,7,7,0.75,0.7,2.557506708,2.368934252,0.35,1.552545924,VN07,4,4,4,1.241684079,1.257422146,1.263991094,1.275929541,1.294386194,1.298439569,1.340997177,1.367997682,1.392717068,1.435963275,1.457354461,1.460426827,1.462167726,1.437718043,1.432903961,1.398562019,1.25944187,1.25962902,1.305694328,1.311466398,1.252224962,1.215521677,1.238718448,1.252432752,1.247100083,1.149822876,1.065383795,1.114811281,1.226762818,1.149633351,1.17526632,1.183965643,1.001426494,1.015950425,1.080280519,1.068237577,1.112575908,1.193250968,1.349263731,1.462722941,1.423010611,1.400615781,1.253494023,1.279675163,1.351928575,1.468885592,1.519175184,1.552545924,1.532746636,1.425319836,1.395898917,1.532217889,1.633881659,1.711953497,1.79051044,1.813365787,1.795353045,1.938402252,2.2857002,2.362305254,2.412325004,2.554366163,2.557506708,2.482893607,2.155669614,1.959215029,1.83017594,1.838941173,1.889854089,1.914855542,1.71435957,1.603950044,1.626780357,1.542740323,1.592089942,1.508050144,1.432378174,1.442049374
35,22.175,103.715,13,13,0.133,0.133,2.206539564,1.873548763,0.01,1.561671423,VN08,2,1.01,2,1.561671423,1.49958836,1.497504122,1.494452754,1.482571626,1.473639812,1.427228162,1.487743639,1.48609113,1.363304606,1.356588954,1.396228403,1.414121971,1.423509229,1.417924461,1.452583381,1.432894443,1.481304665,1.524007493,1.574189117,1.629197483,1.702569589,1.753174221,1.771937411,1.775225502,1.817737163,1.899356285,2.115656933,2.186849705,2.123251849,2.206539564,2.192347463,2.163089558,2.106995037,2.077764584,2.069560185,1.8872744,1.718932738,1.414479781,1.270928881,1.209002519,1.180906272,1.205218719,1.233517989,1.285702366,1.330104524,1.409462665,1.418808029,1.38101633,1.321780363,1.297147171,1.296277142,1.296342449,1.315800313,1.337817872,1.280634909,1.219339417,1.211890043,1.304933334,1.275501629,1.236243881,1.18705472,1.245312133,1.204574575,1.246720447,1.314113693,1.363589959,1.281235416,1.174099686,1.096665284,1.069430983,1.125652319,1.137863319,1.15606978,1.238723292,1.24683166,1.25381867,1.266664471
36,21.931,103.422,10,10,0.03,0.03,1.70032848,1.435532765,0.32,1.326208075,VN09,1,1.01,1,1.47630035,1.523651408,1.537160606,1.557827003,1.663172161,1.70032848,1.618113044,1.670679171,1.634244879,1.578960359,1.559828057,1.540593731,1.547781047,1.543190232,1.514275648,1.481985824,1.543051332,1.493453621,1.410842244,1.410650481,1.426898062,1.411183262,1.397858783,1.401099235,1.373286651,1.34309886,1.357814024,1.363365893,1.350141584,1.429615324,1.438564829,1.40218208,1.387266221,1.345883239,1.318026569,1.31426102,1.360347604,1.327446928,1.311905797,1.222215993,1.189352045,1.235774275,1.261233615,1.266418587,1.281224051,1.326208075,1.266774343,1.270271845,1.271184056,1.300259734,1.270522425,1.277265826,1.240842626,1.223607168,1.176883352,1.077444579,1.002874252,0.986446453,1.040548976,1.047328419,1.040972521,1.054259136,1.050129145,1.013402382,0.95004069,0.942566847,0.962399968,0.938091343,0.98044357,0.997671391,1.050208063,1.102995228,1.042739323,1.008749253,1.081665245,1.092743343,1.094146796,1.081491675
37,21.694,103.079,7,5,0.46,0.48,1.999145488,1.346238813,0.15,1.951407369,VN10,1,1.02,1,1.783636,1.781648807,1.785467397,1.798765824,1.803042808,1.798922003,1.723806393,1.841966223,1.87972807,1.90522058,1.877628454,1.878353282,1.887814162,1.898176117,1.906794965,1.920095192,1.879954256,1.884752286,1.846025381,1.814766722,1.767130256,1.776429469,1.691324379,1.718744672,1.762928506,1.765756121,1.781866475,1.843499196,1.781277561,1.796891768,1.801325462,1.773771841,1.951407369,1.799747949,1.639682153,1.565624826,1.798267523,1.745131568,1.564021766,1.615550216,1.629058377,1.65017902,1.890588707,1.939894137,1.867012374,1.708786998,1.817240854,1.793838635,1.751145268,1.576588463,1.481492742,1.673490872,1.753451325,1.880822829,1.999145488,1.913183465,1.841264869,1.874378538,1.741644834,1.45533599,1.433745819,1.423189754,1.409628661,1.57650758,1.659705972,1.61000524,1.499914573,1.526904139,1.441468366,1.478653453,1.415489728,1.212853725,1.08687821,1.143657985,1.133770878,0.998061975,0.927429088,0.841734538
38,21.67,103.635,8,8,0.18,0.18,2.335239814,1.852114898,0.01,1.626696973,VN11,2,1.01,2,1.626696973,1.61666039,1.617389049,1.615058826,1.553431636,1.532061269,1.493193935,1.434501765,1.432511188,1.411240236,1.415274034,1.454464221,1.477821071,1.507091104,1.561334911,1.614007384,1.685227739,1.746840496,1.782644134,1.771939031,1.75757505,1.720998532,1.661461181,1.708100318,1.680762019,1.682899961,1.76920874,1.734242429,1.717466631,1.755177851,1.80840869,1.905493516,1.970924747,2.041117618,2.118314935,2.335239814,2.30584713,2.033309634,1.671776014,1.580075921,1.670042079,1.626659203,1.507504802,1.508497366,1.608009856,1.549087272,1.387573894,1.348375149,1.369366605,1.383497999,1.377478368,1.270093586,1.179232269,1.172964694,1.196972474,1.319464282,1.396420823,1.244035839,1.204358913,1.164228437,1.225134671,1.237786603,1.186793441,1.130626273,1.169214908,1.231266434,1.288281193,1.230173226,1.107854537,0.977755274,1.037291875,1.159188018,1.281013399,1.209622778,1.165557146,1.100175544,1.131138193,1.178840253
39,21.532,103.241,8,5,0.044,0.045,1.684267316,0.957474906,0.26,1.374780124,VN12,1,1.01,1,1.377076226,1.414530145,1.420820622,1.434551532,1.444453619,1.453427195,1.508346286,1.488379743,1.501093012,1.557744068,1.662444659,1.684267316,1.679960844,1.642538195,1.53070308,1.540140298,1.349258423,1.395912163,1.43936575,1.489456914,1.37978003,1.193145169,1.080059546,1.037535558,1.0600399,1.138242159,0.986135731,0.870185616,0.845599462,0.974616059,1.010741578,0.94817226,1.078131183,1.05273686,1.061973697,1.126801325,0.949850699,0.968055785,1.170162727,1.293719092,1.359727548,1.374780124,1.238068759,1.234033792,1.180404,1.138373014,1.132953993,1.102147431,1.075614761,1.192287128,1.262214186,1.279654192,1.274264367,1.340958147,1.324337356,1.23056671,1.021791707,0.789848834,0.886497673,0.983370649,1.011155642,1.092689848,1.096527069,1.048883038,0.967013438,0.941481916,0.871674906,0.864375153,0.853652754,0.878550455,0.857252886,0.804049378,0.814488579,0.848088421,0.889374058,1.006723724,0.952845329,0.857459381
40,21.3,103.233,3,2,1.4,0.042,1.756239533,0.982054685,0.13,1.39467035,VN13,1,1.01,1,0.961166857,0.973053735,0.973693641,0.974579533,1.027807418,0.967736481,0.867263782,0.868916873,0.870388731,0.875052159,0.867398536,0.887386142,0.905176546,0.937126537,0.945969245,1.007064091,0.981402067,0.97627461,1.067207732,0.998743122,0.959344302,0.917243681,0.942090193,1.027550039,1.180689657,1.131796683,1.035400212,1.13621242,1.109727644,1.39467035,1.388497033,1.063990239,1.162659701,1.085694145,1.047927453,1.002884892,0.884385814,0.818608559,0.956366245,1.026647529,1.046631401,1.111317782,1.047042472,1.022638296,0.992857148,0.933080456,0.864007046,0.84312509,0.828600026,0.814689053,0.77674111,0.733261033,0.664051708,0.656097176,0.652642865,0.646254514,0.669496252,0.829464041,1.110730597,1.181266779,1.132488449,0.995359749,0.922396315,0.900493677,0.936154078,1.053948045,1.131383256,1.134328121,1.296020049,1.450249514,1.518887952,1.756239533,1.504002476,1.317100191,1.278186897,1.333683307,1.428097689,1.437155231
41,20.924,103.587,11,11,0.133,0.133,1.888356966,1.534347795,0.25,1.750897022,VN14,1,1.01,1,1.455645368,1.464393482,1.459347013,1.452185331,1.419366912,1.378353347,1.351616388,1.391328098,1.355533118,1.307890727,1.262440811,1.282472836,1.300370604,1.308922027,1.301321552,1.281697327,1.246988947,1.338145496,1.360968295,1.387644232,1.454767696,1.513991791,1.55573152,1.589633683,1.494431038,1.517974167,1.567922967,1.58124965,1.649907434,1.842199997,1.888356966,1.819004726,1.761121369,1.615693134,1.594837554,1.613528938,1.51384262,1.418110079,1.543021974,1.690106037,1.750897022,1.614636684,1.495463827,1.464794989,1.458566701,1.484059058,1.555229324,1.521416874,1.516329143,1.351891257,1.349319343,1.371207065,1.359375699,1.326836397,1.297555657,1.304618624,1.311883105,1.396144136,1.271227787,1.240260025,1.273260768,1.340438132,1.436079588,1.37538042,1.420801372,1.555238073,1.522704142,1.433137158,1.238515432,1.387258135,1.446781616,1.370739916,1.32932967,1.353256149,1.421519448,1.373659364,1.323405436,1.238773214
42,21.254,103.481,14,14,0.032,0.032,1.338978064,1.158363595,0.28,1.294613526,VN15,1,1.01,1,1.155094993,1.178810661,1.184496113,1.198927234,1.255894622,1.292148785,1.338978064,1.32860367,1.313842316,1.269348294,1.257241247,1.234755216,1.225907689,1.215301306,1.193235203,1.154525188,1.1064757,0.960092539,0.88392749,0.882919759,0.945930107,0.969782815,1.00816163,1.018515394,1.020137346,0.989131882,1.030822822,0.981716078,1.108955811,1.155152668,1.14045398,1.117905186,1.160043139,1.14529316,1.090710049,1.135531853,1.146904575,1.179940296,1.13582522,1.171379377,1.225117031,1.201071635,1.294613526,1.286451931,1.22802399,1.151015252,1.219905711,1.209764365,1.178332648,1.141770774,1.164492098,1.231815996,1.249799955,1.246182433,1.254444942,1.22433193,1.212090674,1.124815167,1.099219701,1.141448304,1.134834712,1.130930434,1.090965407,1.101444975,1.068444467,1.116067442,1.165546374,1.171326718,1.072211827,0.95980142,1.007064148,1.004800267,0.998726142,0.974937742,0.933669011,0.977087962,1.029434671,1.043497037
43,21.916,106.745,13,13,0.17,0.17,3.51983073,2.962342108,0.02,2.242497463,VR01,2,2,2,2.231388521,2.242497463,2.235300003,2.237008096,2.232386866,2.204659965,2.17930496,2.122390921,2.113821255,2.143501644,2.106623231,2.104023267,2.10291778,2.089603593,2.000079132,1.87891699,1.722610648,1.635647089,1.528248257,1.518905814,1.609737774,2.070430301,2.416816435,2.691864303,2.911322063,2.960258025,2.908603974,2.33702299,2.453497163,2.549099089,2.647220861,2.735396304,3.074227381,3.325979534,3.51983073,3.370277838,2.972563088,2.674861051,2.402469382,2.356658837,2.440798681,2.456736861,2.347757233,2.232865476,2.168750371,1.990740854,1.886242145,1.900982332,1.947363384,1.812238406,1.663422927,1.568179863,1.597830274,1.597089369,1.600610844,1.628093127,1.570674068,1.465018499,1.418549109,1.345611935,1.342433837,1.366113264,1.407113065,1.35673672,1.241171794,1.195852316,1.168631717,1.132600509,1.096175352,1.125884695,1.092849835,1.21448636,1.303667499,1.300900133,1.282922392,1.305006263,1.400484966,1.461222653
44,21.863,106.673,7,7,0.09,0.09,3.396317109,2.705253012,0.6,1.439339749,VR02,2,2,2,1.092021933,1.064667189,1.024256238,0.949558059,0.839181561,0.8152928,0.778440213,0.72929352,0.725007721,0.76699341,0.847335184,0.956468768,0.993395877,1.026979996,1.158285492,1.300461657,1.684403564,1.834411965,1.996172387,2.086607032,2.315106356,2.397826121,2.822994989,3.280246826,3.396317109,3.124303772,2.821382689,2.325396341,1.894979188,1.927143824,1.813499132,1.666826522,1.55749015,1.527886864,1.554471413,1.513750336,1.425966793,1.412849527,1.397812084,1.208310362,1.201032819,1.339447251,1.179210635,1.107264573,1.145531396,1.137088927,1.100537544,1.132496658,1.12215056,1.097452147,1.038721263,1.126812652,1.194907197,1.212674867,1.231322362,1.234361386,1.247385191,1.314563379,1.439339749,1.339324685,1.314213465,1.312489777,1.348443489,1.330390588,1.218017341,1.090647193,1.142055233,1.241958628,1.118896255,1.173609139,0.9992377,0.898506836,0.910421069,0.92172555,0.871659753,0.818922714,0.803446697,0.815133048
45,21.8,106.604,15,15,0.095,0.2,2.335217298,1.91847497,0.01,1.685690643,VR03,2,1.02,2,1.685690643,1.677779278,1.678273434,1.683081608,1.65763578,1.642854507,1.584772412,1.494738857,1.468608923,1.388934379,1.385845987,1.355266436,1.364321007,1.359704296,1.357859826,1.390209153,1.468082448,1.735039772,1.957894083,2.020949315,1.974697644,2.136867635,2.082610489,1.995415013,2.050696034,2.335217298,2.332317049,2.272966499,1.994900241,1.746590049,1.740245987,1.669699012,1.536295088,1.497313512,1.61341913,1.830030718,2.049576418,2.132258256,1.979820974,1.569556203,1.509714789,1.439413917,1.297657369,1.31865209,1.307092847,1.372617662,1.33139272,1.345194607,1.334475005,1.361063018,1.397812024,1.329220177,1.206234929,1.19986701,1.230267512,1.30842113,1.371704408,1.368163041,1.33765395,1.336651735,1.303888296,1.199873394,1.242728024,1.255536127,1.251908699,1.187810881,1.186858579,1.189712011,1.063469189,0.972010709,0.995268933,0.978523273,0.969927667,0.943596953,0.892276776,0.920739783,0.925608933,0.904163511
46,21.736,106.543,10,10,1.9,1.9,1.202384221,1.225334346,0.85,1.19205046,VR04,1,1.02,1,0.938267159,0.962495883,0.960517773,0.955836874,0.958906779,0.964098561,0.962505501,0.935303026,0.929439507,1.013596016,1.013495033,1.059068699,1.060922022,1.058915449,1.044871613,1.086802757,1.058799967,1.048462203,1.078643349,1.050193112,1.033765115,0.965144745,0.994609633,0.976589966,1.004019768,0.975924969,0.985352061,1.082321938,0.984941774,0.876893392,0.870314214,0.961449942,1.099601238,1.044572584,1.037118044,0.987628632,0.901466183,0.834893831,0.903954701,0.975347952,0.945632902,0.905426506,0.930869718,0.870618071,0.834114425,0.880607545,0.867928832,0.890040841,0.903702695,0.881730961,0.888790268,0.821854066,0.842855591,0.851553465,0.869577787,0.943274888,1.001135187,1.004122383,1.071884075,1.187174909,1.15346763,1.103362279,1.110748728,1.143165467,1.19205046,1.045075113,1.012806791,1.027422627,0.998291965,0.959827764,0.945046558,1.001797945,1.015368138,1.096015097,1.158166329,1.162348353,1.202384221,1.160742787
47,21.674,106.447,14,11,0.29,0.28,3.030629528,2.512246069,0.025,2.015747524,VR05,3,3,3,1.992174063,1.995404387,2.001000286,2.015747524,2.006226995,2.006663561,1.991527791,1.973587252,1.951980365,1.864613694,1.85269704,1.842542607,1.836196004,1.810476592,1.83011539,1.825922227,1.862598222,1.845844375,1.780681073,1.764487686,1.724566878,1.638218828,1.674302128,1.689408321,1.708616622,1.766833834,1.744389547,1.567054793,1.456265746,1.366605462,1.383066213,1.43055258,1.393115349,1.634542102,1.844363155,1.89346601,2.023406554,2.330345629,2.611627873,2.633867685,2.706548622,2.83193265,3.025245916,3.030629528,2.969531336,2.817017429,2.740124677,2.683363926,2.668912696,2.670657178,2.567696013,2.492072167,2.413213509,2.328269476,2.288815133,2.101374177,1.958789397,2.013861816,1.934270131,1.935170588,1.868188774,1.807748048,1.816701783,1.798695301,1.761264053,1.709693673,1.673602841,1.538507734,1.524440401,1.469474886,1.528154521,1.528403981,1.53915025,1.438715558,1.354415439,1.299882066,1.328242237,1.342460277
48,21.622,106.373,10,10,0.38,1.1,1.322268038,1.22259091,1.1,1.268261299,VR06,1,1.02,1,1.082649074,1.093144949,1.09949491,1.109017089,1.092675719,1.085502767,1.065587269,1.058925255,1.090981942,1.166103388,1.155193654,1.164055894,1.163864045,1.146067512,1.123661253,1.123688655,1.143248874,1.131268765,1.193506467,1.203092819,1.235818064,1.189895455,1.120873968,1.087457119,1.091124624,1.095554877,1.093849827,1.136254896,1.140933008,1.000047623,1.013763559,1.050465357,1.061147824,1.063529934,0.99227161,0.942609535,0.908615987,0.891085742,0.930455272,0.944832214,0.966871246,0.931403805,0.965257077,0.911402915,0.914088965,0.912002121,1.016625953,1.083594404,1.187628209,1.322268038,1.26336992,1.178875613,1.131444987,1.113040624,1.074111444,1.006914059,1.067825681,1.138239135,1.142903818,1.063881076,1.069976769,1.045404213,1.030310183,1.106380443,1.089284308,1.202158364,1.263949633,1.240599451,1.268261299,1.160492877,0.96803962,0.908815824,0.968565353,1.02563628,0.963709854,0.918408125,0.871139316,0.89843319
49,21.56,106.289,7,6,0.16,0.16,4.14293208,3.803792404,0.02,2.427696114,VR07,2,2,2,2.422697518,2.427696114,2.417726371,2.402533482,2.350667615,2.334984856,2.306677014,2.254924633,2.235626232,2.059505768,2.000323371,1.949310347,1.951725239,1.947649766,1.9667074,1.884781422,1.902837424,1.963704619,2.098401841,1.992436442,1.933678302,1.893124801,1.976099871,2.126745293,1.984728891,1.806000759,1.883633893,2.277406039,2.590263789,3.104275383,3.239070234,3.394569991,3.750155743,4.14293208,3.992192853,3.716071864,3.392527828,2.856806567,2.025118381,1.874944583,1.813915461,1.710005413,1.659049781,1.966703232,2.132290652,2.28715456,2.18757963,2.182676493,2.119166339,1.967688214,1.785804826,1.883650312,1.701302736,1.608561392,1.541630759,1.523676008,1.499934999,1.572794205,1.72846887,1.617682273,1.588497722,1.662623,1.699648446,1.678149538,1.542970469,1.476761005,1.511228379,1.422274967,1.192103214,1.026327333,0.902739106,0.85841327,0.900632453,0.843364858,0.823302009,0.839893125,0.9226975,1.039354546
